region,min_mbps
Australia and New Zealand,78.46
Caribbean,32.99
Central America,21.49
Central Asia,36.19
Eastern Africa,22.85
Eastern Asia,47.43
Eastern Europe,11.98
Northern Africa,15.10
Northern America,74.87
Northern Europe,41.12
South America,11.26
South-Eastern Asia,28.70
Southern Africa,27.94
Southern Asia,8.48
Southern Europe,20.56
Western Africa,20.19
Western Asia,7.91
Western Europe,56.69
