speed,countries
Over 200 mbps,13
Between 180 and 200 mbps,7
Between 160 and 180 mbps,7
Between 140 and 160 mbps,8
Between 120 and 140 mbps,5
Between 100 and 120 mbps,7
Between 80 and 100 mbps,21
Between 60 and 80 mbps,21
Between 40 and 60 mbps,22
Between 20 and 40 mbps,22
Below 20 mbps,28
