region,max_mbps
Australia and New Zealand,97.86
Caribbean,32.99
Central America,39.73
Central Asia,51.25
Eastern Africa,29.49
Eastern Asia,141.23
Eastern Europe,117.64
Northern Africa,40.89
Northern America,103.73
Northern Europe,130.05
South America,73.08
South-Eastern Asia,114.30
Southern Africa,51.96
Southern Asia,96.38
Southern Europe,94.33
Western Africa,20.19
Western Asia,398.51
Western Europe,133.44
