region,min_mbps
Australia and New Zealand,71.87
Caribbean,36.10
Central America,44.74
Central Asia,3.53
Eastern Africa,9.48
Eastern Asia,71.45
Eastern Europe,61.05
Melanesia,26.36
Middle Africa,9.94
Northern Africa,10.58
Northern America,188.20
Northern Europe,80.14
South America,12.09
South-Eastern Asia,21.56
Southern Africa,8.53
Southern Asia,3.63
Southern Europe,30.74
Western Africa,8.90
Western Asia,3.65
Western Europe,90.63
